Aff,Neg,Judge,Win
Mission San Jose MW,American Heritage Broward SL,Nidhi Tiwary,Aff
West Des Moines Valley AR,Riverside Independent SH,Haiping Wang,Neg
Edgemont AG,Syosset AP,Fiona Hu,Aff
Brearley IM,Phillips Exeter TH,Norma Delgado,Neg
Westwood SM,Stanford OHS ES,Gallo Patel,Aff
Harvard-Westlake OF,Marlborough GC,Reece Aguilar,Aff
Phillips Exeter JM,Cary Acad TB,Grant Brown,Aff
Northwood JS,MSTW Independent AP,Denitsa Zvetkova,Neg
Marlborough EP,George Washington IF,Ivan Lin,Aff
Pinewood CA,Loyola TH,Gordon Krauss,Neg
Gunn SP,Edgemont SS,Nethmin Liyanage,Aff
Lynbrook VK,American Heritage Broward KB,Deepak Gupta,Aff
Brophy AP,Phillips Exeter KG,Platon Kryukov,Aff
St Luke's SM,Vista Del Lago AS,Clement Agho-Otoghile,Aff
Harvard-Westlake AS,Altamont JG,Jordan Brown,Aff
ModernBrain JR,Gabrielino OL,Hudson Nguyen,Neg
Marlborough OO,Loyola EM,Dash Gilrain,Aff
Lake Highland Prep AW,American Heritage Broward SM,David McGinnis,Aff
Golden State AB,American Heritage Broward ES,Joseph Barquin,Neg
Bellevue Youth MT,Marlborough SW,Coralynn Yang,Neg
Cary Acad LM,Peninsula JE,Asher Meron,Aff
Golden State PP,Interlake RM,Zakai Petilon,Aff
Riverside Independent OT,Valley Christian VX,Subrata Saharoy,Neg
Wayzata AR,Sehome Independent RS,Drew Benthein,Neg
West Des Moines Valley DN,Altamont SB,Amanda Ciocca,Neg
Westwood AT,Langham Creek EY,Anderson Hendrix,Neg
Dougherty Valley PN,Phillips Exeter HZ,Meryem Anderoglu,Aff
Peninsula AK,Horace Greeley SG,Isaiah Salgado,Neg
Bellevue Youth ZF,Kent Denver CM,Ishan Rereddy,Neg
Golden State JZ,Brophy CC,Aman Jha,Neg
Littleton MK,Gunn EE,Ryan Morgan,Neg
Altamont MF,Loyola JP,Madeline Hosking,Neg
Park Vista CN,Ridge AM,Nathan Weimar,Aff
Veritas Independent TI,BASIS Silicon Valley YS,Holden Bukowsky,Aff
Lynbrook BZ,Brophy NR,Michael Brand,Aff
Laurel CW,St Thomas CO,Michael Pulver,Neg
Loyola GY,Wayzata NS,Brie Thomas McGinnis,Neg
Phillips Exeter SA,Able2Shine MH,Brianna Aaron,Neg
Sharks Independent WL,Altamont WM,Vontrez White,Aff
Loyola LA,Lynbrook ST,Chloe Wolf,Neg
Maccabees RS,Awty International AZ,Miao Zhang,Neg
Able2Shine MS,Interlake JP,Daniel Medina,Neg
New York State Independent AS,ModernBrain DL,Joseph Flores,Neg
Berkeley Carroll JH,Horace Greeley CC,Arjun Chopra,Aff
Archbishop Mitty AGo,American Heritage Broward NS,Conal Thomas-McGinnis,Neg
Phillips Exeter JMa,ModernBrain GC,Byoung Park,Aff
Able2Shine ZZ,Golden State JM,Cindy Chanay,Neg
West HS SLC KS,Troy Independent JK,Emilio Garza,Neg
Marlborough JK,Golden State IT,Cyrus Jackson,Aff
Northwood NC,Bellevue Youth AR,Elvis Pineda,Aff
Papaya Valley SK,ModernBrain JH,Yi Liu,Aff
