Aff,Neg,Judge,Win
Loyola GY,Dougherty Valley AK,Fang Yang,Neg
Cherry Hill HS East CR,Walt Whitman SC,Garrett Bishop,Aff
Phillips Exeter ES,Cary Acad TB,Zakai Petilon,Aff
Trinity Prep SH,Lincoln Northwest AR,Rob Sosa,Neg
Phillips Exeter JM,Riverside Independent OT,Amanda Ciocca,Aff
Altamont MF,Edgemont SS,Elvis Pineda,Aff
Loyola LA,BASIS Scottsdale AK,Gerard Grigsby,Neg
West HS SLC LM,West Des Moines Valley ER,Ryan Morgan,Aff
Riverside Independent PK,St Luke's SM,Joseph Flores,Aff
Loyola EM,Archbishop Mitty NM,Fiona Hu,Aff
Dougherty Valley SV,Marlborough MF,Coralynn Yang,Aff
Holy Trinity Episcopal CH,Clear Lake RZ,Vontrez White,Neg
Altamont JG,Ridge HK,Emilio Garza,Neg
Syosset AP,Sharks Independent JZ,Lesly De Anda,Aff
American Heritage Broward SM,ModernBrain JH,Conal Thomas-McGinnis,Aff
Universe 7 TD,BASIS Peoria Independent SC,Cody Dorumsgaard,Aff
Loyola AK,Pinewood CA,Andrew Park,Aff
Westwood AT,Peninsula AK,Jacob Nails,Aff
Gunn IT,Golden State KS,Drew Benthein,Aff
Loyola JP,Harvard-Westlake KM,Isaiah Salgado,Neg
Bellevue Youth IH,Marlborough EP,Shawn Lo,Neg
Marlborough DK,Sehome Independent RS,Carlye Sanchez,Neg
Chaminade OS,Marlborough AL,David Coates,Aff
George Washington IF,BASIS Scottsdale JV,Joseph Barquin,Neg
Harvard-Westlake JW,Park Vista CN,Anderson Hendrix,Aff
Lynbrook VK,Harrison SE,Kelly Brace,Neg
Brophy AP,ModernBrain MG,Aravind Kandala,Aff
Lake Highland Prep SS,Marlborough SS,Cyrus Jackson,Neg
Loyola JR,Archbishop Mitty AGo,Sally Rawlinson,Neg
Golden State CW,ModernBrain ID,Jules Yang,Aff
